personality_word,word_valence,mean_val,mean_img,mean_freq
Unlovable,negative,15.0,30.0,10.0
Cruel,negative,10.0,40.0,15.0
Criminal,negative,5.0,45.0,20.0
Monstrous,negative,10.0,50.0,10.0
Fraudulent,negative,10.0,50.0,30.0
Hateful,negative,5.0,40.0,25.0
Predatory,negative,10.0,50.0,20.0
Dishonest,negative,20.0,55.0,25.0
Malicious,negative,10.0,60.0,20.0
Stupid,negative,5.0,35.0,50.0
Sadistic,negative,5.0,40.0,15.0
Dirty,negative,10.0,45.0,35.0
Venomous,negative,5.0,60.0,15.0
Barbaric,negative,10.0,50.0,10.0
Unlikeable,negative,20.0,30.0,50.0
Deceitful,negative,15.0,55.0,30.0
Neglectful,negative,20.0,60.0,30.0
FALSE,negative,25.0,55.0,40.0
Disloyal,negative,20.0,50.0,45.0
Heartless,negative,5.0,35.0,20.0
Uncaring,negative,15.0,40.0,25.0
Vindictive,negative,10.0,50.0,15.0
Narcissistic,negative,25.0,60.0,35.0
Ignorant,negative,15.0,50.0,40.0
Unreliable,negative,20.0,60.0,50.0
Ungrateful,negative,15.0,45.0,40.0
Treacherous,negative,5.0,50.0,25.0
Disturbing,negative,10.0,55.0,30.0
Selfish,negative,20.0,50.0,40.0
Destructive,negative,5.0,45.0,20.0
Inconsiderate,negative,15.0,55.0,35.0
Obnoxious,negative,5.0,40.0,25.0
Disrespectful,negative,10.0,50.0,30.0
Insincere,negative,10.0,60.0,40.0
Desperate,negative,25.0,50.0,50.0
Deceptive,negative,15.0,50.0,30.0
Hostile,negative,5.0,45.0,25.0
Grim,negative,10.0,60.0,40.0
Unfriendly,negative,20.0,50.0,45.0
Unstable,negative,5.0,40.0,30.0
Irresponsible,negative,15.0,55.0,50.0
Cowardly,negative,10.0,50.0,25.0
Weak-willed,negative,10.0,45.0,30.0
Shallow,negative,15.0,55.0,40.0
Insulting,negative,5.0,60.0,25.0
Unprincipled,negative,10.0,50.0,20.0
Prejudiced,negative,5.0,55.0,25.0
Narrow-minded,negative,15.0,50.0,40.0
Perverse,negative,5.0,45.0,15.0
Greedy,negative,10.0,50.0,35.0
Weak,negative,15.0,40.0,45.0
Thoughtless,negative,10.0,60.0,40.0
Artificial,negative,20.0,55.0,25.0
Unimpressive,negative,10.0,50.0,30.0
Aggressive,negative,5.0,60.0,50.0
Unappreciative,negative,20.0,55.0,40.0
Frightening,negative,10.0,50.0,15.0
Dull,negative,25.0,40.0,50.0
Brutal,negative,5.0,45.0,20.0
Sloppy,negative,10.0,50.0,45.0
Scheming,negative,15.0,60.0,30.0
Callous,negative,5.0,55.0,20.0
Devious,negative,10.0,60.0,35.0
Intolerant,negative,5.0,50.0,40.0
Sly,negative,10.0,60.0,25.0
Miserable,negative,5.0,35.0,30.0
Tasteless,negative,10.0,55.0,40.0
Remorseless,negative,5.0,50.0,20.0
Discouraging,negative,20.0,45.0,35.0
Lazy,negative,25.0,50.0,50.0
Careless,negative,15.0,55.0,40.0
Uncooperative,negative,10.0,45.0,30.0
Insensitive,negative,5.0,55.0,25.0
Irrational,negative,10.0,50.0,40.0
Morbid,negative,5.0,60.0,20.0
Paranoid,negative,10.0,55.0,15.0
Resentful,negative,5.0,45.0,30.0
Pompous,negative,20.0,50.0,25.0
Foolish,negative,25.0,40.0,35.0
Scornful,negative,10.0,50.0,30.0
Slow,negative,20.0,40.0,50.0
Cold,negative,10.0,55.0,40.0
Conceited,negative,15.0,50.0,45.0
One-dimensional,negative,10.0,60.0,30.0
Tactless,negative,10.0,55.0,35.0
Superficial,negative,15.0,50.0,50.0
Unhealthy,negative,5.0,40.0,25.0
Undisciplined,negative,15.0,50.0,35.0
Uncharitable,negative,5.0,60.0,20.0
Ridiculous,negative,25.0,45.0,30.0
Charmless,negative,15.0,50.0,25.0
Gloomy,negative,10.0,60.0,35.0
Bland,negative,20.0,45.0,45.0
Unimaginative,negative,25.0,50.0,20.0
Sneaky,negative,10.0,60.0,30.0
Petty,negative,5.0,55.0,20.0
Neurotic,negative,15.0,40.0,30.0
Crass,negative,20.0,50.0,25.0
Stingy,negative,10.0,55.0,40.0
Disruptive,negative,5.0,50.0,35.0
Oppressed,negative,10.0,45.0,20.0
Pretentious,negative,15.0,55.0,50.0
Gullible,negative,25.0,60.0,45.0
Crude,negative,10.0,50.0,30.0
Graceless,negative,5.0,60.0,15.0
Disorderly,negative,10.0,50.0,40.0
Envious,negative,15.0,45.0,25.0
Repressed,negative,20.0,50.0,30.0
Possessive,negative,5.0,55.0,40.0
Egocentric,negative,10.0,50.0,35.0
Troublesome,negative,5.0,40.0,50.0
Abrasive,negative,10.0,55.0,20.0
Meddlesome,negative,5.0,50.0,30.0
Impractical,negative,15.0,60.0,40.0
Dismissive,negative,5.0,45.0,25.0
Misguided,negative,20.0,50.0,35.0
Fickle,negative,10.0,50.0,40.0
Naive,negative,25.0,45.0,50.0
Unconvincing,negative,20.0,40.0,30.0
Amoral,negative,5.0,55.0,20.0
Uncreative,negative,20.0,50.0,35.0
Aimless,negative,10.0,60.0,25.0
Coarse,negative,15.0,45.0,40.0
Unreflective,negative,10.0,50.0,50.0
Insecure,negative,5.0,55.0,35.0
Disorganised,negative,15.0,50.0,40.0
Shameless,negative,10.0,60.0,20.0
Difficult,negative,25.0,45.0,50.0
Unambitious,negative,20.0,50.0,30.0
Short-sighted,negative,15.0,55.0,25.0
Erratic,negative,5.0,45.0,40.0
Obsessive,negative,10.0,60.0,35.0
Childish,negative,5.0,50.0,20.0
Irritable,negative,15.0,45.0,50.0
Absentminded,negative,10.0,40.0,30.0
Unpolished,negative,25.0,50.0,20.0
Unrealistic,negative,20.0,60.0,30.0
Easily discouraged,negative,5.0,45.0,50.0
Confused,negative,20.0,50.0,40.0
Disobedient,negative,5.0,40.0,25.0
Submissive,negative,10.0,55.0,35.0
Contradictory,negative,15.0,50.0,40.0
Presumptuous,negative,5.0,60.0,30.0
Rowdy,negative,10.0,55.0,20.0
Moody,negative,5.0,45.0,50.0
Abrupt,negative,15.0,60.0,40.0
Vulnerable,negative,10.0,50.0,30.0
Mistaken,negative,15.0,45.0,35.0
Rigid,negative,5.0,50.0,40.0
Simple,positive,80.0,70.0,75.0
Modern,positive,85.0,80.0,80.0
Sweet,positive,90.0,75.0,90.0
Romantic,positive,85.0,65.0,70.0
