personality_word,total_likeability,rank
sincere,573,1
honest,555,2
understanding,549,3
loyal,547,4
truthful,545,5
trustworthy,539,6
intelligent,537,7
dependable,536,8
open-minded,530,9
thoughtful,529,10
wise,528,11
considerate,527,12
good-natured,527,13
reliable,527,14
mature,522,15
warm,522,16
earnest,521,17
kind,520,18
friendly,519,19
kind-hearted,514,20
happy,514,21
clean,514,22
interesting,511,23
unselfish,510,24
good-humored,507,25
honorable,507,26
humorous,505,27
responsible,505,28
cheerful,504,29
trustful,504,30
warm-hearted,504,31
broad-minded,503,32
gentle,503,33
well-spoken,501,34
educated,500,35
reasonable,500,36
companionable,499,37
likable,497,38
trusting,497,39
clever,496,40
pleasant,495,41
courteous,494,42
quick-witted,494,43
tactful,494,44
helpful,492,45
appreciative,492,46
imaginative,492,47
outstanding,492,48
self -disciplined,491,49
brilliant,490,50
enthusiastic,489,51
level-headed,489,52
polite,489,53
original,488,54
smart,488,55
forgiving,486,56
sharp-witted,486,57
well-read,486,58
ambitious,484,59
bright,483,60
respectful,483,61
efficient,482,62
good-tempered,482,63
grateful,482,64
conscientious,481,65
resourceful,481,66
alert,480,67
good,480,68
witty,480,69
clear-headed,479,70
kindly,479,71
admirable,478,72
patient,478,73
talented,478,74
perceptive,477,75
spirited,477,76
sportsmanlike,477,77
well-mannered,477,78
cooperative,476,79
ethical,476,80
intellectual,476,81
versatile,474,82
capable,471,83
courageous,471,84
constructive,468,85
productive,468,86
progressive,468,87
individualistic,467,88
observant,467,89
ingenious,466,90
lively,466,91
neat,466,92
punctual,466,93
logical,465,94
prompt,465,95
accurate,464,96
sensible,464,97
creative,462,98
self-reliant,462,99
tolerant,461,100
amusing,460,101
clean-cut,460,102
generous,459,103
sympathetic,459,104
energetic,457,105
high-spirited,457,106
self -controlled,456,107
tender,456,108
active,455,109
independent,455,110
respectable,455,111
inventive,453,112
wholesome,453,113
congenial,452,114
cordial,452,115
experienced,451,116
attentive,450,117
cultured,450,118
frank,450,119
purposeful,450,120
decent,449,121
diligent,449,122
realist,449,123
eager,448,124
poised,448,125
competent,447,126
realistic,447,127
amiable,446,128
optimistic,443,129
vigorous,443,130
entertaining,442,131
adventurous,441,132
vivacious,440,133
composed,439,134
relaxed,439,135
romantic,439,136
proficient,438,137
rational,438,138
skillful,438,139
enterprising,437,140
gracious,437,141
able,436,142
nice,436,143
agreeable,434,144
skilled,433,145
curious,432,146
modern,432,147
charming,430,148
sociable,429,149
modest,428,150
decisive,427,151
humble,427,152
