,Word,Valence
catme 60 words,bad,Negative
,coward,Negative
,rejected,Negative
,discarded,Negative
,unkind,Negative
,angry,Negative
,stupid,Negative
,chubby,Negative
,quiet,Negative
,deserted,Negative
,upset,Negative
,despicable,Negative
,strange,Negative
,ugly,Negative
,unlovable,Negative
,forgotten,Negative
,hurt,Negative
,nervous,Negative
,awful,Negative
,boring,Negative
,scared,Negative
,wretched,Negative
,hated,Negative
,alone,Negative
,afraid,Negative
,helpless,Negative
,anxious,Negative
,lazy,Negative
,abandoned,Negative
,lonely,Negative
,helpful,Positive
,lucky,Positive
,proud,Positive
,winner,Positive
,happy,Positive
,loveable,Positive
,appreciated,Positive
,interesting,Positive
,popular,Positive
,cheerful,Positive
,pretty,Positive
,nice,Positive
,brave,Positive
,healthy,Positive
,accepted,Positive
,exciting,Positive
,desirable,Positive
,leader,Positive
,funny,Positive
,needed,Positive
,loved,Positive
,pleasing,Positive
,wanted,Positive
,smart,Positive
,friendly,Positive
,curious,Positive
,cherished,Positive
,lively,Positive
,attractive,Positive
,likeable,Positive
likert 200 words,abandoned,Negative
,accused,Negative
,afraid,Negative
,aggressive,Negative
,alone,Negative
,annoyed,Negative
,anti-social,Negative
,anxious,Negative
,apathetic,Negative
,ashamed,Negative
,awful,Negative
,bashful,Negative
,betrayed,Negative
,bitter,Negative
,burdened,Negative
,chubby,Negative
,conceited,Negative
,coward,Negative
,critical,Negative
,cruel,Negative
,depressed,Negative
,deserted,Negative
,despair,Negative
,despicable,Negative
,disappointed,Negative
,disapproving,Negative
,discarded,Negative
,disgusted,Negative
,dishonest,Negative
,dishonorable,Negative
,dismissive,Negative
,disrespected,Negative
,distant,Negative
,embarrassed,Negative
,empty,Negative
,excluded,Negative
,exposed,Negative
,fearful,Negative
,forgotten,Negative
,fragile,Negative
,fretful,Negative
,frightened,Negative
,frustrated,Negative
,furious,Negative
,greedy,Negative
,grief,Negative
,guilty,Negative
,hated,Negative
,helpless,Negative
,hesitant,Negative
,high-strung,Negative
,hostile,Negative
,humiliated,Negative
,hurt,Negative
,hypersensitive,Negative
,ill,Negative
,impractical,Negative
,inadequate,Negative
,indignant,Negative
,inefficient,Negative
,inferior,Negative
,infuriated,Negative
,insecure,Negative
,insignificant,Negative
,insincere,Negative
,insolent,Negative
,insulting,Negative
,introverted,Negative
,isolated,Negative
,jealous,Negative
,judgmental,Negative
,lazy,Negative
,let down,Negative
,lonely,Negative
,loss,Negative
,mad,Negative
,malicious,Negative
,mean,Negative
,meek,Negative
,neglected,Negative
,nervous,Negative
,numb,Negative
,obnoxious,Negative
,overwhelmed,Negative
,persecuted,Negative
,phony,Negative
,powerless,Negative
,provoked,Negative
,quiet,Negative
,rejected,Negative
,remorseful,Negative
,resentful,Negative
,ridiculed,Negative
,rude,Negative
,sad,Negative
,scared,Negative
,sceptical,Negative
,shy,Negative
,spiteful,Negative
,strange,Negative
,stupid,Negative
,tense,Negative
,thoughtless,Negative
,threatened,Negative
,timid,Negative
,tricky,Negative
,ugly,Negative
,uncharitable,Negative
,uncheery,Negative
,unfocused,Negative
,unkind,Negative
,unlovable,Negative
,unsparkling,Negative
,untrustworthy,Negative
,untruthful,Negative
,upset,Negative
,useless,Negative
,victim,Negative
,violated,Negative
,vulnerable,Negative
,weak,Negative
,withdrawn,Negative
,worried,Negative
,worrying,Negative
,worthless,Negative
,wretched,Negative
,accepted,Positive
,appreciated,Positive
,at ease,Positive
,calm,Positive
,cheerful,Positive
,cherished,Positive
,clean,Positive
,confident,Positive
,considerate,Positive
,content,Positive
,courageous,Positive
,creative,Positive
,curious,Positive
,dependable,Positive
,desirable,Positive
,earnest,Positive
,efficient,Positive
,enthusiastic,Positive
,free,Positive
,good-natured,Positive
,happy,Positive
,honest,Positive
,hopeful,Positive
,imaginative,Positive
,inquisitive,Positive
,inspired,Positive
,intelligent,Positive
,interested,Positive
,joyful,Positive
,kind-hearted,Positive
,likeable,Positive
,loveable,Positive
,loved,Positive
,loving,Positive
,loyal,Positive
,lucky,Positive
,mature,Positive
,needed,Positive
,neighbourly,Positive
,open-minded,Positive
,optimistic,Positive
,orderly,Positive
,organised,Positive
,persistent,Positive
,playful,Positive
,pleasing,Positive
,popular,Positive
,powerful,Positive
,reflective,Positive
,relaxed,Positive
,reliable,Positive
,respected,Positive
,secure,Positive
,self-assured,Positive
,self-confident,Positive
,sincere,Positive
,stable,Positive
,successful,Positive
,systematic,Positive
,thankful,Positive
,thoughtful,Positive
,trusting,Positive
,trustworthy,Positive
,truthful,Positive
,understanding,Positive
,unnervous,Positive
,unselfish,Positive
,unworrying,Positive
,valued,Positive
,wanted,Positive
,warm,Positive
,well-off,Positive
,winner,Positive
,wise,Positive
Recog data,lonely,Negative
,discarded,Negative
,quiet,Negative
,annoying,Negative
,insolent,Negative
,upset,Negative
,spiteful,Negative
,wretched,Negative
,heartless,Negative
,abandoned,Negative
,boring,Negative
,dishonest,Negative
,obnoxious,Negative
,vulgar,Negative
,mean,Negative
,forgotten,Negative
,chubby,Negative
,offensive,Negative
,deserted,Negative
,rude,Negative
,conceited,Negative
,untrustworthy,Negative
,deceitful,Negative
,belligerent,Negative
,underhanded,Negative
,bad,Negative
,dislikable,Negative
,strange,Negative
,rejected,Negative
,helpless,Negative
,disrespectful,Negative
,unkind,Negative
,angry,Negative
,phony,Negative
,ultra-critical,Negative
,awful,Negative
,insincere,Negative
,hated,Negative
,hurt,Negative
,afraid,Negative
,liar,Negative
,despicable,Negative
,untruthful,Negative
,narrow-minded,Negative
,ugly,Negative
,malicious,Negative
,stupid,Negative
,insulting,Negative
,scared,Negative
,alone,Negative
,greedy,Negative
,unlovable,Negative
,coward,Negative
,selfish,Negative
,dishonorable,Negative
,nervous,Negative
,lazy,Negative
,thoughtless,Negative
,loud-mouthed,Negative
,lucky,Positive
,loved,Positive
,warm-hearted,Positive
,open-minded,Positive
,good-natured,Positive
,helpful,Positive
,cheerful,Positive
,smart,Positive
,proud,Positive
,pleasing,Positive
,intelligent,Positive
,mature,Positive
,winner,Positive
,lively,Positive
,likeable,Positive
,sincere,Positive
,funny,Positive
,good-humored,Positive
,earnest,Positive
,honest,Positive
,wise,Positive
,cherished,Positive
,well-spoken,Positive
,wanted,Positive
,popular,Positive
,pretty,Positive
,trustworthy,Positive
,curious,Positive
,appreciated,Positive
,interesting,Positive
,warm,Positive
,humorous,Positive
,gentle,Positive
,loyal,Positive
,thoughtful,Positive
,loveable,Positive
,considerate,Positive
,brave,Positive
,healthy,Positive
,truthful,Positive
,attractive,Positive
,educated,Positive
,companionable,Positive
,happy,Positive
,kind-hearted,Positive
,exciting,Positive
,understanding,Positive
,desirable,Positive
,nice,Positive
,honorable,Positive
,needed,Positive
,clean,Positive
,responsible,Positive
,reasonable,Positive
,leader,Positive
,dependable,Positive
,friendly,Positive
,trustful,Positive
,accepted,Positive
